original_species,label_species,note
Bauhinia variegata var. candida,Bauhinia variegata,variety merged to parent species for recognition
Juniperus chinensis 'Kaizuca',Juniperus chinensis,cultivar merged to parent species for recognition
Litsea rotundifolia var. oblongifolia,Litsea rotundifolia,variety merged to parent species for recognition
Macaranga tanarius var. tomentosa,Macaranga tanarius,variety merged to parent species for recognition
Melaleuca cajuputi subsp. cumingiana,Melaleuca cajuputi,subspecies merged to parent species for recognition
Plumeria rubra var. acutifolia,Plumeria rubra,variety merged to parent species for recognition
Gordonia axillaris,Polyspora axillaris(Gordonia axillaris),synonym merged after local coordinate folders were consolidated
Polyspora axillaris,Polyspora axillaris(Gordonia axillaris),accepted/current folder label for merged Gordonia synonym
Araucaria columnaris,Araucaria columnaris(Araucaria heterophylla),synonym merged after local coordinate folders were consolidated
Araucaria heterophylla,Araucaria columnaris(Araucaria heterophylla),synonym merged after local coordinate folders were consolidated
Bridelia tomentosa,Bridelia tomentosa(Bridelia insulana),synonym merged after local coordinate folders were consolidated
Bridelia insulana,Bridelia tomentosa(Bridelia insulana),synonym merged after local coordinate folders were consolidated
